name,genre
 Lifehouse ,Pop/Rock
 LOCASH ,Contemporary Country
 Megadeth ,Metal
 Miranda Cosgrove ,Rock
 Mick Jagger ,Rock
 Michelle Branch ,Pop
 Milli Vanilli ,Pop
 Morgan Heritage ,Reggae
 NewSong ,Christian Pop
 Ozzy Osbourne ,Rock
 Passenger ,Alternative Folk
 Pat Green ,Country
 Parmalee ,Country
 Plies ,Rap
 Radney Foster ,Country
 Rage Against the Machine ,Rock
 Real Money ,Hip-Hop/Rap
 Rick Astley ,Pop
 Rob Thomas ,Rock
 Roxette ,Pop/Rock
 Roy Orbison ,Rock
 Ruthie Collins ,Country
 Sean Kingston ,Hip-Hop/Rap
 Simply Red ,Soul
 Snow Patrol ,Rock
 Soul Asylum ,Alternative
 Steve Earle ,Folk-Rock
 Swedish House Mafia ,Dance
 Tank ,R&B/Soul
 The Bloody Beetroots ,Electronic
 The Fabulous Thunderbirds ,Blues/Folk
 Timeflies ,Electronic
 Type O Negative ,Metal
 Wu-Tang Clan ,Hip-Hop
 Zakk Wylde ,Rock
 Ben Howard ,Contemporary Singer/Songwriter
 Hugh Bob and The Hustle ,Alternative Country
 Galantis ,Electronic
 Onur Özsu ,Pop
 NAZERETH LOVE JONES ,Blues-Rock
 Devonte Riley ,R&B/Soul
 A Rocket to the Moon ,Rock
 Aaron & Amanda Crabb ,Country Gospel
 Black Eyed Peas ,Hip-Hop/Rap
 Avery Sunshine ,R&B/Soul
 Baby Bash ,Hip-Hop
 Björk ,Rock
 Bloc Party ,Indie Rock
 Chuck Berry ,Rock
 Cledus T. Judd ,Country
 Cowboy Troy ,Country
 Darryl Worley ,Country
 David Ball ,Country
 Diana Krall ,Jazz
 Donna Summer ,Disco
 Drake Bell ,Pop/Rock
 Everlast ,Singer/Songwriter
 Foy Vance ,Contemporary Singer/Songwriter
 Garbage ,Rock
 Gene Autry ,Country
 Grace Potter & the Nocturnals ,Rock
 Halestorm ,Rock
 Israel Vibration ,Reggae
 Jack Johnson ,Alternative Folk
 Jake Bugg ,Rock
 Jerry Rivera ,World/International
 Jimmy Page ,Rock
 John Prine ,Pop
 John Mellencamp ,Rock & Roll
 Karmin ,Teen Pop
 Katie Melua ,Easy Listening/Vocal
 Keke Palmer ,R&B/Soul
 KT Tunstall ,Rock
 Limp Bizkit ,Alternative
 Liz Phair ,Rock
 Live ,Rock
 Los Lonely Boys ,Rock
 Macy Gray ,Hip-Hop/Rap
 Lupe Fiasco ,Hip-Hop/Rap
 Megha Maan ,Hip-Hop/Rap
 Mickey Gilley ,Country
 Motion City Soundtrack ,Rock
 Neal McCoy ,Country
 Neon Trees ,Alternative
 Nonpoint ,Metal
 Passion Pit ,Alternative
 Pepe Aguilar ,Regional Mexicano
 Rehab ,Hip-Hop/Rap
 R.E.M. ,Rock
 Restless Heart ,Country
 Rodney Crowell ,Americana
 Robbie Williams ,Pop
 Rose Falcon ,Country
 Selena ,World/International
 Sierra Hull ,Americana
 Sixx:A.M. ,Rock
 Steve Holy ,Contemporary Country
 The Black Crowes ,Rock
 The Calling ,My Super Sweet 16
 The Walkmen ,Alternative
 Theory of a Deadman ,Rock
 Tony Bennett ,Standards
 Travis Barker ,Hip-Hop/Rap
 Vampire Weekend ,Indie Rock
 AM ,Alternative
 Phoenix ,Alternative
 MKTO ,Pop
 Morgan Frazier ,Country
 R5 ,Pop/Rock
 Sevyn Streeter ,R&B/Soul
 Sanek ,Hip-Hop/Rap
 Lindsey Erin ,Country
 Kelvyn Colt ,Hip-Hop/Rap
 Kree Harrison ,Country
 London Grammar ,Electronic
 Chanel West Coast ,West Coast Rap
 Rixton ,Pop/Rock
 Mick Jenkins ,Rap
 NF ,Hip-Hop/Rap
 Sam RUBIK ,Hip-Hop/Rap
 Eric Van Houten ,Country
 Aaron Neville ,R&B/Soul
 Against Me! ,Rock
 Arcade Fire ,Alternative
 Ben Harper ,R&B/Soul
 Blur ,Indie Rock
 Billy Idol ,Punk
 Billy Joe Shaver ,Country
 Billy Ocean ,Rock
 Black Stone Cherry ,Southern Rock
 Boz Scaggs ,R&B/Soul
 Brandi Carlile ,Singer/Songwriter
 Bryan White ,Country
 Burning Spear ,Reggae
 Candlebox ,Rock
 Clipse ,Hip-Hop/Rap
 Clay Aiken ,Pop
 Club Nouveau ,R&B/Soul
 Colton James ,Contemporary Country
 Cold War Kids ,Alternative
 CONOR MAYNARD ,Pop
 Daley ,Neo-Soul
 Crystal Bowersox ,Americana
 D'Angelo ,R&B/Soul
 Deftones ,Metal
 Edward Sharpe & the Magnetic Zeros ,Indie Rock
 Chet Faker ,Alternative
 Europe ,Rock
 Fort Minor ,Hip-Hop/Rap
 Frank Zappa ,Rock
 Gang Starr ,Hip-Hop/Rap
 Ginuwine ,R&B/Soul
 Gloriana ,Country
 Godsmack ,Hard Rock
 Good Charlotte ,Rock
 Green River Ordinance ,Alternative Country
 Haley Reinhart ,Pop
 Hundred Waters ,Indie Rock
 Hot Hot Heat ,Rock
 Heather Headley ,Soul
 Helloween ,Metal
 Hole ,Rock
 Insane Clown Posse ,Rock
 Jagged Edge ,R&B/Soul
 JB and the Moonshine Band ,Alternative Country
 Jerry Lee Lewis ,Rock
 Joan Jett ,Rock
 Joni Mitchell ,Blues/Folk
 Josh Groban ,Modern Composition
 Julian Casablancas ,Alternative
 Judas Priest ,Metal
 Kathleen Edwards ,Blues/Folk
 Kim Wilde ,Pop
 KMFDM ,Rock
 Lee Greenwood ,Country
 Lee Roy Parnell ,Country
 Lianne La Havas ,Alternative
 Lindi Ortega ,Americana
 Little Texas ,Country
 M83 ,Alternative
